프로젝트 명,엔드포인트 URL,엔드포인트 클래스,엔드포인트 메소드,사용 프로젝트 명,클래스,메소드(라인),메소드 분석,HTTP,엔드포인트 정의 위치,사용 파일,사용 라인,매칭 유형,신뢰도,소스 라인,endpoint_id
FinUp.Auth.Api,api/auth/app,AuthController,GetAuthApp,Finup.Chat.NET.Blazor.Core,ChatApiAuth,RequestUserJwtFromStockService (Finup.Chat.NET.Blazor.Core/Protocols/ChatApiAuth.cs:41),"서버-side HTTP 호출 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:122,Finup.Chat.NET.Blazor.Core/Protocols/ChatApiAuth.cs,41,exact,High,"using var repHttpMsg = await _httpClient.PostAsJsonAsync<JwtAuth.PostRequest>($""{AuthUrl}/api/auth/app"", request).ConfigureAwait(false);",2
FinUp.Auth.Api,api/auth/app,AuthController,GetAuthApp,FinUp.Chat.Web,Config,설정/상수 영역 (FinUp.Chat.Web/appsettings.json:25),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:122,FinUp.Chat.Web/appsettings.json,25,exact,High,"""AuthApiUrl"": ""https://pre-apiauth.finup.co.kr/api/auth/app"",",2
FinUp.Auth.Api,api/auth/app,AuthController,GetAuthApp,FinUp.Stock.Admin,View/Markup,View/Markup 영역 (Finup.Stock.Admin/Chat/ChatRoom.aspx:80),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:122,Finup.Stock.Admin/Chat/ChatRoom.aspx,80,exact,High,"var vJwtUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiAuthPath""] %>"" + ""/api/auth/app/jwt"";",2
FinUp.Auth.Api,api/auth/app,AuthController,GetAuthApp,FinUp.Stock.App.AlphaBot,ProcessUnit,AuthAppHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3404),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:122,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3404,exact,High,"var site = ""https://apiauth.finup.co.kr/api/auth/app"";",2
FinUp.Auth.Api,api/auth/app,AuthController,GetAuthApp,FinUp.Stock.Mentor,View/Markup,View/Markup 영역 (FinUp.Stock.Mentor/Chat/ChatRoom.aspx:84),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:122,FinUp.Stock.Mentor/Chat/ChatRoom.aspx,84,exact,High,"var vJwtUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiAuthPath""] %>"" + ""/api/auth/app/jwt"";",2
FinUp.Auth.Api,api/auth/app/jwt,AuthController,GetAuthSimpleJwt,FinUp.Stock.Admin,View/Markup,View/Markup 영역 (Finup.Stock.Admin/Chat/ChatRoom.aspx:80),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:76,Finup.Stock.Admin/Chat/ChatRoom.aspx,80,exact,High,"var vJwtUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiAuthPath""] %>"" + ""/api/auth/app/jwt"";",4
FinUp.Auth.Api,api/auth/app/jwt,AuthController,GetAuthSimpleJwt,FinUp.Stock.Mentor,View/Markup,View/Markup 영역 (FinUp.Stock.Mentor/Chat/ChatRoom.aspx:84),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:76,FinUp.Stock.Mentor/Chat/ChatRoom.aspx,84,exact,High,"var vJwtUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiAuthPath""] %>"" + ""/api/auth/app/jwt"";",4
FinUp.Auth.Api,api/auth/autologin,AuthController,GetAuthAutoLogin,FinUp.Stock.App.AlphaBot,ProcessUnit,AuthRefreshHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3446),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:243,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3446,exact,High,"""https://apiauth.finup.co.kr/api/auth/autologin""",5
FinUp.Auth.Api,api/auth/refresh,AuthController,GetAuthRefresh,FinUp.Chat.Web,Config,설정/상수 영역 (FinUp.Chat.Web/appsettings.json:26),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:192,FinUp.Chat.Web/appsettings.json,26,exact,High,"""RefreshApiUrl"": ""https://pre-apiauth.finup.co.kr/api/auth/refresh"",",7
FinUp.Auth.Api,api/auth/refresh,AuthController,GetAuthRefresh,FinUp.Stock.Admin,View/Markup,View/Markup 영역 (Finup.Stock.Admin/Chat/ChatRoom.aspx:81),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:192,Finup.Stock.Admin/Chat/ChatRoom.aspx,81,exact,High,"var vRefreshUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiAuthPath""] %>"" + ""/api/auth/refresh"";",7
